"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\Tasklist\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 23, 10, 4, 37
"c:\xampp\htdocs\Tasklist\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 19, 10, 4, 33
"c:\xampp\htdocs\Tasklist\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 10, 4, 37
"c:\xampp\htdocs\Tasklist\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 24, 10, 4, 38
"c:\xampp\htdocs\Tasklist\database\migrations\2022_08_10_101529_create__tasks_table.php", "PHP", 19, 10, 4, 33
"Total", "-", 108, 50, 20, 178
